Item ,Group
Bread,Food
Scandinavian,Unknown
Hot chocolate,Drink
Jam,Food
Cookies,Food
Muffin,Food
Coffee,Drink
Pastry,Food
Medialuna,Unknown
Tea,Drink
NONE,Unknown
Tartine,Unknown
Basket,Unknown
Mineral water,Drink
Farm House,Unknown
Fudge,Food
Juice,Drink
Ella's Kitchen Pouches,Unknown
Victorian Sponge,Food
Frittata,Food
Hearty & Seasonal,Unknown
Soup,Food
Pick and Mix Bowls,Unknown
Smoothies,Drink
Cake,Food
Mighty Protein,Unknown
Chicken sand,Food
Coke,Drink
My-5 Fruit Shoot,Unknown
Focaccia,Unknown
Sandwich,Food
Alfajores,Food
Eggs,Food
Brownie,Food
Dulce de Leche,Unknown
Honey,Food
The BART,Unknown
Granola,Food
Fairy Doors,Unknown
Empanadas,Food
Keeping It Local,Unknown
Art Tray,Unknown
Bowl Nic Pitt,Unknown
Bread Pudding,Food
Adjustment,Unknown
Truffles,Food
Chimichurri Oil,Food
Bacon,Food
Spread,Food
Kids biscuit,Food
Siblings,Unknown
Caramel bites,Food
Jammie Dodgers,Unknown
Tiffin,Unknown
Olum & polenta,Unknown
Polenta,Unknown
The Nomad,Unknown
Hack the stack,Unknown
Bakewell,Unknown
Lemon and coconut,Food
Toast,Food
Scone,Food
Crepes,Food
Vegan mincepie,Food
Bare Popcorn,Food
Muesli,Food
Crisps,Food
Pintxos,Unknown
Gingerbread syrup,Food
Panatone,Unknown
Brioche and salami,Food
Afternoon with the baker,Unknown
Salad,Food
Chicken Stew,Food
Spanish Brunch,Food
Raspberry shortbread sandwich,Food
Extra Salami or Feta,Food
Duck egg,Food
Baguette,Food
Valentine's card,Unknown
Tshirt,Unknown
Vegan Feast,Food
Postcard,Unknown
Nomad bag,Unknown
Chocolates,Food
Coffee granules ,Unknown
Drinking chocolate spoons ,Unknown
Christmas common,Unknown
Argentina Night,Unknown
Half slice Monster ,Food
Gift voucher,Unknown
Cherry me Dried fruit,Food
Mortimer,Unknown
Raw bars,Food
Tacos/Fajita,Food
